,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL,Acceleration,Aggression,Agility,Balance,ballControll,Composure,Crossing,Defending,Height,Weight,Nationality,position
2339,L. Melgarejo,26,74,63,74,6.7,2009,85,71,77,76,75,74,70,187,178,76,Paraguay,ST LM
2340,J. Jones,25,74,26,75,7.3,1935,84,69,78,75,69,70,73,198,180,73,Trinidad & Tobago,LM LB
2341,F. orevi,29,74,53,74,6.2,1827,64,74,65,64,72,74,48,103,186,80,Serbia,ST
2342,E. Room,28,74,14,75,5.1,1184,46,22,47,46,26,32,20,49,189,88,Curacao,GK
2343,T. Usami,25,74,26,75,7.3,1737,78,30,79,80,75,72,69,76,178,69,Japan,LM ST
2344,Fbio Espinho,31,74,11,74,5.5,1998,74,73,87,83,75,68,70,179,171,64,Portugal,CAM CM
2345,R. Mora,29,74,26,74,6.2,1914,76,74,78,80,75,70,69,64,170,74,Uruguay,ST RM
2346,D. Lazovi,26,74,36,74,6.7,1762,84,67,76,67,78,68,70,87,181,66,Serbia,RW RM
2347,A. Ndiaye Diedhiou,20,74,22,87,12.3,1850,90,62,87,79,71,75,63,124,173,63,Senegal,ST LM CAM
2348,A. Soumaoro,25,74,37,79,7.3,1628,52,72,53,65,56,66,57,220,186,93,France,CB
2349,C. Marrugo,31,74,11,74,5.5,1858,70,57,69,68,73,75,73,151,177,75,Colombia,CAM
2350,J. Forln,29,74,11,74,4.9,1755,62,76,63,68,65,66,59,227,180,74,Argentina,CB CDM
2351,L. Traor,27,74,38,74,6.7,1637,68,55,38,31,68,67,35,65,203,87,Ivory Coast,ST
2352,Samu Garca,27,74,25,74,6.7,1790,76,48,75,69,75,72,76,64,179,73,Spain,RM ST CAM
2353,J. Fernandes,28,74,18,74,6.2,1872,78,70,78,63,77,69,68,79,183,78,Chile,LM RM CF ST
2354,S. Johansen,26,74,47,75,7.3,2016,70,83,76,78,76,74,70,190,182,78,Norway,CM
2355,Tiago Pinto,29,74,20,74,4.8,2016,86,63,84,77,74,74,73,210,177,70,Portugal,LB
2356,N. Lombaerts,32,74,17,74,3.6,1749,33,71,45,54,59,69,63,221,188,83,Belgium,CB
2357,P. Gallese,27,74,8,76,5.1,1192,45,22,34,57,22,25,21,50,189,77,Peru,GK
2358,M. Krmenk,24,74,0,79,0,1730,73,78,70,57,71,59,55,63,190,93,Czech Republic,ST
2359,A. Sulu,31,74,25,74,4.3,1736,66,85,65,73,65,72,33,218,183,80,Turkey,CB
2360,M. Pucciarelli,26,74,6,77,7.8,1842,90,60,90,87,78,74,62,82,174,64,Italy,ST CF
2361,J. Haberer,23,74,24,78,7.8,1885,66,59,75,63,78,62,62,148,186,78,Germany,CM CF LM RM
2362,N. Asare,30,74,22,74,4.6,2014,75,70,80,83,75,80,70,216,175,66,Ghana,LB CB
2363,U. Demirok,28,74,32,74,5.1,1641,52,68,49,56,58,73,40,226,190,85,Turkey,CB
2364,T. Matlaba,29,74,1,74,4.8,1969,85,41,80,86,72,74,72,220,169,75,South Africa,LB RB LM CM
2365,Marc Roca,20,74,20,85,9.5,1841,58,69,66,63,76,65,61,219,184,74,Spain,CDM CM
2366,S. Al Dawsari,25,74,39,75,7.3,1876,86,77,83,75,71,67,64,113,171,72,Saudi Arabia,RM LM CM CAM
2367,S. Floccari,35,74,14,74,2.9,1741,64,48,67,70,73,76,56,52,180,79,Italy,ST
2368,Y. Al Shahrani,25,74,35,76,6.2,1973,90,64,81,77,72,63,69,213,171,62,Saudi Arabia,LB RB
2369,V. Laurini,28,74,5,74,5,1805,82,74,82,78,68,70,69,220,173,72,France,RB
2370,A. Diakhaby,20,74,30,80,9,1690,80,32,73,64,74,65,66,48,188,74,France,ST RM
2371,A. Ros,28,74,19,74,5.1,1901,66,73,63,63,68,67,50,207,172,77,Mexico,CDM CM
2372,A. Behich,26,74,19,75,6.2,1997,84,79,84,84,72,65,74,217,170,66,Australia,LB LM
2373,O. Tannane,23,74,32,78,8.4,1913,80,77,82,73,76,66,63,105,177,80,Morocco,RM LM CAM
2374,Zeca,28,74,25,74,6.2,2001,77,79,74,74,76,74,71,208,182,67,Greece,CM
2375,K. Ayhan,22,74,23,82,7.8,1948,65,75,66,64,67,74,68,218,184,84,Turkey,CB CDM CM
2376,N. Roux,29,74,20,74,6.2,1818,69,52,69,76,73,71,66,66,182,81,France,ST LM
2377,F. Cacciatore,30,74,18,74,4.6,1868,74,72,68,75,61,74,69,229,182,85,Italy,RB LB
2378,R. Prez,27,74,5,75,6.2,1541,58,79,45,66,62,59,20,215,186,82,Colombia,CB
2379,A. Cresswell,27,74,78,75,6.2,2047,75,72,77,85,74,72,80,231,170,66,England,CB LB LWB
2380,S. Sow,28,74,35,74,5.1,1843,64,76,64,71,69,63,54,209,185,75,Mali,CDM
2381,S. Vilakazi,27,74,0,74,0,1773,78,38,66,72,74,76,64,111,170,75,South Africa,CAM CF RW
2382,Victorino Magela,29,74,29,74,4.3,1120,41,41,32,45,21,71,9,25,188,85,Brazil,GK
2383,K. Kamara,32,74,11,74,5,1824,74,75,75,69,69,71,64,60,188,75,Sierra Leone,ST
2384,M. aran,24,74,16,79,7.3,2046,69,73,69,61,76,75,72,201,181,82,Turkey,CDM CM
2385,M. Wakaso,26,74,26,75,7.3,2068,88,81,82,85,74,65,74,197,171,72,Ghana,CM LM RM
2386,I. Strini,29,74,35,74,4.8,1944,73,72,69,72,74,68,76,220,186,78,Croatia,LB
2387,T. Al Jassam,32,74,37,74,3.6,2038,75,71,70,74,75,74,61,218,169,64,Saudi Arabia,CDM CM CAM
2388,M. Heller,31,74,27,74,5.5,1798,93,58,84,80,72,64,75,76,175,70,Germany,RM LM
2389,Adrianiscito,25,74,27,74,4.5,1044,17,36,44,22,16,42,18,36,193,88,Brazil,GK
2390,J. Grealish,21,74,31,83,9.5,1736,77,43,80,82,79,75,68,87,175,68,England,CAM LM CM
2391,D. Pelkas,23,74,1,78,8.4,1815,82,39,79,82,74,72,70,89,177,73,Greece,CAM RM LM CM
2392,O. Onazi,24,74,26,77,6.7,2056,83,69,90,91,75,65,67,213,173,73,Nigeria,CDM CM
2393,C. Gnter,24,74,21,75,6.2,1871,73,83,67,62,68,63,76,215,185,80,Germany,LWB LB
2394,C. Sync,21,74,19,83,8.4,1704,67,81,63,56,58,55,46,235,187,84,Turkey,CB
2395,T. Abraham,19,74,63,85,10.6,1678,80,41,68,60,70,70,47,56,196,82,England,ST
2396,Adrin Gonzlez,29,74,24,74,4.9,2008,64,71,68,66,80,67,74,204,183,76,Spain,CDM CM CAM
2397,B. Pearson,22,74,14,79,7.3,1856,70,95,70,75,71,67,49,220,176,71,England,CDM CM
2398,M. Mavraj,31,74,33,74,4.3,1519,33,74,49,44,62,66,44,231,189,84,Albania,CB
2399,Beb,26,74,22,74,6.7,1862,76,72,70,59,75,67,73,66,190,83,Portugal,LM RM
2400,M. Vydra,25,74,55,77,7.8,1861,86,53,80,70,74,72,63,78,175,71,Czech Republic,CAM CF ST LW
2401,Aday Bentez,29,74,25,74,4.8,1833,73,62,81,69,80,60,73,206,179,75,Spain,LWB RWB
2402,M. Wagu,26,74,27,76,6.2,1491,51,77,47,46,51,68,36,223,191,87,Mali,CB
2403,Carmona,29,74,14,74,6.2,1919,68,59,69,72,76,73,81,118,178,73,Spain,RM CM RW
2404,Dentinho,28,74,1,74,6.2,1881,81,68,75,67,80,68,65,137,176,71,Brazil,CAM
2405,S. Gigot,23,74,19,79,7.3,1692,60,78,61,57,63,67,67,220,187,85,France,CB
2406,Wesley,20,74,22,82,9.5,1711,68,76,45,42,74,75,65,55,191,93,Brazil,ST
2407,I. Brizuela,26,74,54,74,6.7,1889,90,65,88,79,72,65,70,114,171,66,Mexico,RM LW
2408,L. Blas,19,74,15,83,9.5,1930,84,64,79,74,79,65,75,182,180,73,France,RM CM LM
2409,S. Kljestan,31,74,10,74,5.5,1987,60,70,66,63,73,75,76,183,185,77,United States,CAM CM
2410,R. Fraser,23,74,54,78,8.4,1839,89,65,92,93,71,68,72,133,163,60,Scotland,RM LM
2411,A. Delort,25,74,32,77,7.8,1828,74,70,71,72,72,73,67,64,182,82,France,ST RW
2412,V. Stoyanov,30,74,0,74,0,1131,48,26,37,42,21,53,12,36,188,91,Bulgaria,GK
2413,C. Maggio,35,74,38,74,1.4,2049,69,72,73,67,77,78,77,215,184,79,Italy,RB
2414,Salvador Agra,25,74,13,75,7.3,1871,93,55,92,91,75,78,71,102,166,61,Portugal,RM LM
2415,M. Demir,25,74,18,76,7.8,1938,78,59,84,84,78,65,68,71,180,69,Turkey,ST CAM
2416,J. Figal,23,74,18,80,7.3,1771,76,72,73,65,72,73,55,216,181,64,Argentina,CB RB
2417,R. Ibarra,26,74,54,74,6.7,1915,88,73,84,78,75,63,76,144,175,69,Ecuador,RM
2418,Padilhisco,25,74,27,74,5.4,1890,82,45,71,67,76,76,74,220,182,82,Brazil,LB LM
2419,O. Rivero,25,74,10,77,7.8,1708,72,69,75,74,71,67,25,60,187,82,Uruguay,ST
2420,A. Bedoya,30,74,10,74,5.6,1960,65,76,73,73,73,74,67,171,178,73,United States,CM CDM
2421,S. Tibbling,22,74,20,80,8.4,1870,78,60,80,82,78,76,67,169,175,78,Sweden,CM
2422,D. McCarty,30,74,9,74,4.7,1908,64,78,72,77,70,66,59,224,175,68,United States,CDM CM
2423,M. Sau,29,74,58,74,6.2,1849,89,38,93,95,76,78,70,62,169,65,Italy,ST CF
2424,J. Schieber,28,74,34,74,6.7,1751,62,80,54,51,69,68,60,67,186,83,Germany,ST
2425,N. Sliti,24,74,37,76,7.8,1876,76,59,79,79,76,70,67,103,173,75,Tunisia,LM LW ST
2426,Cejudo,33,74,12,74,3.8,1919,76,80,76,65,78,71,75,149,180,78,Spain,RM LM
2427,M. degaard,18,74,80,86,10.6,1737,76,32,78,76,85,77,74,82,178,68,Norway,RW
2428,J. Ito,24,74,13,76,7.8,1866,85,64,70,70,67,59,73,174,176,68,Japan,RM RW
2429,N. Penneteau,36,74,8,74,0.84,1071,26,36,38,41,29,56,11,32,185,78,France,GK
2430,Z. Kuzmanovi,29,74,41,74,6.2,1931,45,68,54,59,74,65,63,209,186,80,Serbia,CM CDM
2431,F. Jara,28,74,37,74,6.7,1859,77,60,77,66,76,70,67,88,181,76,Argentina,ST
2432,Gabrel,24,74,50,79,6.2,1129,38,28,58,48,23,45,14,43,193,90,Brazil,GK
2433,M. Bakalorz,27,74,37,74,5.3,1968,66,86,69,73,67,68,44,219,180,78,Germany,CDM CM
2434,O. Kucher,34,74,16,74,1.9,1753,53,69,51,66,62,71,42,223,184,77,Ukraine,CB
2435,D. Diekmeier,27,74,33,74,5.2,1829,84,70,58,46,67,68,71,224,188,79,Germany,RB
2436,G. Burdisso,28,74,31,74,5.1,1568,42,80,48,42,60,66,41,222,189,82,Argentina,CB
2437,B. Verbi,23,74,0,80,0,1896,85,74,78,81,75,70,65,99,179,70,Slovenia,LM RM
2438,F. Valverde,18,74,69,85,10.1,1753,67,52,53,64,75,62,49,164,181,74,Uruguay,CM LM CAM
2439,Pedraza,21,74,26,80,9,1880,78,58,74,58,77,67,76,162,184,73,Spain,LM LWB
2440,J. Herrera,36,74,7,74,0.84,1249,57,44,32,56,16,65,15,39,184,87,Chile,GK
2441,A. Tashaev,23,74,32,78,8.4,1783,79,51,65,72,75,62,73,95,177,74,Russia,LM LW
2442,Cho Hyun Woo,25,74,5,76,5.4,1106,51,19,21,50,18,17,11,50,189,75,Korea Republic,GK
2443,K. Stger,23,74,19,81,9,1801,73,50,74,77,75,50,74,86,176,75,Austria,CAM LM CM
2444,Jesus Andradaldo,25,74,27,74,5.4,1919,69,82,80,58,69,67,68,227,177,73,Brazil,RB
2445,K. McDonald,28,74,45,74,5.1,1883,62,76,60,63,74,78,69,201,192,95,Scotland,CDM CM
2446,P. Mpoku,25,74,18,75,7.3,1968,73,60,70,71,75,76,71,130,180,79,DR Congo,LM CAM ST RM
2447,N. Isimat-Mirin,25,74,16,76,6.2,1589,59,79,55,54,53,66,47,224,189,80,France,CB
2448,Mattheus Oliveira,22,74,15,80,8.4,1919,65,53,73,67,80,65,71,157,182,76,Brazil,CAM CM LM
2449,T. Klose,29,74,38,74,4.9,1514,48,72,33,31,46,71,24,224,193,87,Switzerland,CB
2450,K. Frei,23,74,24,78,8.4,1895,91,59,93,92,75,72,71,89,171,70,Turkey,LM RM
2451,C. Taylor,23,74,42,78,6.7,1961,79,74,75,73,71,70,75,216,185,70,England,LB
2452,H. Saivet,26,74,64,74,6.7,2049,74,58,80,73,76,69,73,188,175,73,Senegal,CM CAM CDM
2453,M. Leckie,26,74,30,74,6.7,1849,91,73,77,78,72,67,69,85,181,82,Australia,RM LM CF
2454,J. Ikoko,23,74,20,79,7.3,1773,78,62,73,76,70,69,72,224,177,76,DR Congo,RB LB
2455,F. Kamano,21,74,37,78,8.4,1813,90,59,78,78,74,68,70,97,175,77,Guinea,LW
2456,C. Nkunku,19,74,39,82,9,1937,75,59,73,79,78,68,66,200,179,72,France,CM LW
2457,F. Uribe,29,74,23,74,6.2,1760,69,55,69,54,75,72,53,82,181,76,Colombia,ST
2458,O. Ivanov,30,74,36,74,6.2,1952,68,80,56,42,77,66,71,187,192,86,Russia,CAM CM
2459,Renan Ribeiro,27,74,9,75,4.9,1109,50,13,59,29,19,48,12,40,193,87,Brazil,GK
2460,H. Lindner,26,74,17,77,5.5,1062,39,32,43,38,19,35,11,38,187,80,Austria,GK
2461,Oier,31,74,12,74,4.3,1937,72,85,68,73,70,61,64,212,178,72,Spain,CB RWB RB CM
2462,ngel,30,74,27,74,6.2,1761,76,62,82,76,80,67,56,57,172,68,Spain,ST CAM
2463,J. Ferri,25,74,56,75,7.3,1988,67,83,73,85,74,69,71,196,172,74,France,CM
2464,D. Jensen,25,74,10,77,5.6,1172,48,36,38,57,22,55,12,47,195,92,Denmark,GK
2465,J. Ibe,21,74,49,79,8.4,1831,85,50,77,82,77,66,66,123,176,81,England,RM LM RW
2466,Pel,25,74,10,75,6.2,1946,68,82,66,63,70,74,55,214,182,77,Guinea Bissau,CDM CM
2467,M. Jensen,29,74,10,74,6.2,2052,78,86,72,80,77,83,70,194,177,75,Denmark,CM
2468,M. Kelly,27,74,49,75,6.2,1747,56,70,59,55,67,75,70,225,191,77,England,CB RB
2469,J. Gutirrez,33,74,23,74,3.7,1979,65,62,62,55,76,82,75,211,184,83,Argentina,CM LM RB RM
2470,M. Leye,34,74,16,74,3.3,1875,67,58,68,67,73,84,71,96,182,75,Senegal,ST
2471,K. Naughton,28,74,61,74,5,1851,74,68,71,70,68,67,71,225,180,73,England,RB RWB
2472,E. Barco,18,74,6,89,12.9,1739,90,46,82,86,74,75,61,106,167,66,Argentina,LM CAM ST
2473,Isaac Becerra,29,74,9,75,4.9,1284,51,32,68,58,19,38,19,53,183,80,Spain,GK
2474,R. Kishna,22,74,45,78,8.4,1714,78,38,76,55,84,72,76,83,183,77,Netherlands,LW LM CAM
2475,O. Colley,24,74,15,78,6.7,1603,60,82,59,44,59,66,44,220,190,88,Gambia,CB
2476,B. Alemn,27,74,18,74,6.7,2005,79,66,76,67,74,69,71,174,178,79,Uruguay,LM CM CAM
2477,P. Retsos,18,74,23,85,9,1660,69,69,68,51,64,73,57,222,186,80,Greece,CB RB LB
2478,I. Kyba,27,74,57,74,5.2,2017,78,72,79,77,76,66,78,206,178,70,Turkey,LB
2479,Juan Villar,29,74,11,74,6.2,1897,85,69,86,68,73,67,68,83,182,72,Spain,RM ST RW
2480,L. Grant,34,74,47,74,2.6,1300,52,42,56,56,34,61,19,44,193,83,England,GK
2481,G. Jara,31,74,14,74,4.3,1817,67,90,71,72,67,75,59,218,178,78,Chile,CB
2482,T. Ben Haim,27,74,1,74,6.7,1779,89,54,83,73,75,76,66,73,180,75,Israel,LW RW LM
2483,J. Barroso,32,74,8,74,3.6,1812,70,55,63,69,65,72,51,224,175,71,Argentina,CB
2484,De la Bella,31,74,27,74,4.1,1864,63,69,66,57,74,66,74,224,182,82,Spain,LB
2485,R. Cohade,32,74,17,74,4.8,1987,61,78,61,72,75,74,72,194,180,74,France,CM CDM
2486,L. Pocrnjic,35,74,9,74,1.5,1008,28,28,41,35,13,34,14,34,190,86,Argentina,GK
2487,Renato Neto,25,74,23,76,7.8,1977,46,81,58,51,73,76,68,203,184,83,Brazil,CM
2488,N. Stanciu,24,74,1,77,7.8,1883,69,60,77,78,75,64,69,100,170,69,Romania,CAM
2489,L. Jovi,19,74,9,83,9.5,1746,74,55,71,63,74,70,63,63,181,79,Serbia,ST
2490,R. Cota,29,74,25,74,4.3,1229,59,29,52,60,25,43,12,36,183,86,Mexico,GK
2491,Seb,25,74,1,76,7.8,1972,89,74,76,69,74,70,70,163,179,73,Brazil,LM RM
2492,A. Rebrov,33,74,43,74,3.2,1123,46,34,44,34,19,42,18,40,193,90,Russia,GK
2493,M. Simon,21,74,19,81,9,1842,92,38,93,91,75,73,70,82,168,67,Nigeria,LM CF RM
2494,Bruno Gama,29,74,14,74,6.2,1886,76,58,77,69,74,76,81,119,175,72,Portugal,RM CAM LM
2495,C. Luyindama,23,74,15,80,7.3,1609,68,80,53,46,58,56,27,212,191,91,DR Congo,CB CDM
2496,A. Yusupov,27,74,58,74,6.7,1913,66,60,73,71,75,70,68,212,180,73,Russia,CM CDM
2497,Luna,26,74,23,75,6.2,1924,74,82,67,69,73,66,76,222,178,68,Spain,LB
2498,A. Ghazal,25,74,9,77,6.7,1699,52,83,70,53,68,71,44,221,189,84,Egypt,CDM
2499,dundo Oliveira,25,74,32,74,5.6,1701,55,76,54,57,51,65,51,223,183,79,Brazil,CB
2500,C. Awaziem,20,74,10,81,7.8,1629,69,77,66,52,62,69,30,221,189,78,Nigeria,CB
2501,David Simn,27,74,20,74,5.2,1841,74,80,65,74,72,66,73,216,175,68,Spain,RB
2502,M. Cornet,20,74,51,80,9,1893,87,55,80,78,75,65,67,88,179,69,Ivory Coast,RW LW
2503,M. Compper,32,74,49,74,3.6,1652,61,66,56,57,60,72,49,223,185,80,Germany,CB
2504,Djalma,30,74,1,74,6.2,1901,84,67,74,76,77,74,69,108,179,78,Angola,RM LM
2505,A. Ragusa,27,74,56,74,6.7,1834,87,57,82,74,78,71,68,83,183,78,Italy,LW
2506,A. Gomis,23,74,27,82,6.7,1183,43,16,60,54,24,57,15,35,194,80,Senegal,GK
2507,Y. Benalouane,30,74,58,74,4.7,1747,60,87,60,59,59,63,61,219,185,86,Tunisia,CB RB
2508,B. Mensah,22,74,42,81,9,1897,84,70,79,65,74,72,64,127,180,65,Ghana,CAM LM
2509,D. Padelli,31,74,43,74,3.8,1038,49,12,38,27,21,40,11,43,191,82,Italy,GK
2510,T. Serero,27,74,14,74,6.7,1866,83,68,83,90,80,74,48,201,172,58,South Africa,CM CDM
2511,F. Bardi,25,74,40,75,5.1,1121,51,21,54,33,12,22,18,33,188,80,Italy,GK
2512,B. Douglas,27,74,48,74,5.2,2023,76,71,75,73,70,68,81,212,177,70,Scotland,LWB LB
2513,S. Johnstone,24,74,63,80,6.2,1189,45,24,55,27,18,22,17,50,193,85,England,GK
2514,Carlos Martnez,31,74,27,74,4.1,1782,55,46,55,41,74,67,83,226,189,79,Spain,RB
2515,Sergio Snchez,31,74,41,74,4.3,1789,66,76,68,60,67,70,61,221,185,78,Spain,CB RB
2516,K. Molino,27,74,10,74,6.7,1888,77,55,80,77,75,73,63,139,184,65,Trinidad & Tobago,CAM RM LM
2517,P. Nakoulma,30,74,28,74,6.2,1845,91,60,83,77,73,80,67,100,178,76,Burkina Faso,ST LM
2518,V. Garca,23,74,10,79,7.3,1829,82,74,80,82,74,68,72,214,178,71,Venezuela,RB
2519,Enaldo Toxeto,29,74,35,74,4.9,1816,66,78,55,61,72,64,62,216,181,79,Brazil,CB
2520,Elustondo,30,74,14,74,5.6,2025,53,88,67,62,71,63,60,229,184,79,Spain,CM CB CDM
2521,Camilo,28,74,15,74,6.7,1902,77,55,82,77,75,72,70,100,169,74,Brazil,ST
2522,J. Schmid,27,74,27,74,6.7,2005,76,73,77,79,75,71,72,184,179,79,France,RM LM
2523,Moi Gmez,23,74,12,79,8.4,1871,73,52,77,80,75,68,75,116,176,71,Spain,LM CAM CM RM
2524,M. Holgate,20,73,63,82,6.2,1752,74,67,65,57,67,66,51,222,184,63,England,CB RB RWB
2525,Pablo Santos,25,73,10,76,4.7,1512,55,72,43,52,56,59,31,223,185,77,Brazil,CB
2526,C. Alemn,21,73,15,81,6.7,1752,76,39,70,65,75,55,67,84,170,72,Ecuador,LM RM
2527,S. Wuytens,27,73,12,73,3.8,1992,58,62,68,67,74,75,68,210,183,74,Belgium,CB CM CDM
2528,S. Berahino,23,73,61,78,6.2,1741,80,47,73,71,74,67,51,61,180,82,England,ST
2529,R. Tapia,21,73,12,78,5.1,2003,73,84,70,67,77,65,60,205,185,78,Peru,CB CM
2530,O. Watkins,21,73,41,84,7.8,1808,79,34,82,73,71,45,67,108,180,70,England,LW CAM ST
2531,B. Dabo,25,73,55,76,5.5,2019,69,82,72,69,73,72,66,216,186,81,Burkina Faso,CM CDM
2532,Andr Martins,27,73,1,73,4.6,1934,81,57,91,90,77,77,66,149,169,62,Portugal,CM CAM
2533,M. Mohammadi,23,73,28,80,5.3,1902,87,65,80,74,72,62,72,205,178,79,Iran,LB LWB
2534,Laure,32,73,12,73,2.5,1814,72,68,72,87,71,62,71,216,166,68,Spain,RB
2535,N. Karelis,25,73,20,76,5.6,1824,75,68,73,78,70,70,66,92,173,80,Greece,ST
2536,Vesga,24,73,20,78,5.1,1796,55,67,57,48,72,64,56,211,191,84,Spain,CDM CM
2537,Alex Bergantios,32,73,23,73,2.6,1807,54,72,61,69,67,65,49,214,176,70,Spain,CDM CM
2538,D. Yurchenko,31,73,18,73,2.7,1188,46,34,49,42,22,60,18,45,186,85,Russia,GK
2539,Wu Lei,25,73,0,76,0,1796,88,49,79,83,70,51,65,86,174,66,China PR,ST RM LM CF
2540,Gabriel Boschilia,21,73,27,80,6.2,1800,76,47,78,81,77,65,58,145,172,63,Brazil,CAM LM
2541,Saborit,25,73,22,76,4.6,1833,72,70,74,46,72,61,70,217,186,72,Spain,LB
2542,J. Drobn,37,73,14,73,0.302,1053,35,26,37,35,22,42,13,40,192,90,Czech Republic,GK
2543,Mikel Gonzalez,31,73,12,73,3,1566,36,75,34,34,54,67,52,224,190,79,Spain,CB
2544,A. Acquah,25,73,42,74,5.2,2010,78,80,78,79,72,69,64,219,179,70,Ghana,CM
2545,S. Palitsevich,27,73,19,73,3.8,1661,62,70,62,58,58,60,36,213,186,80,Belarus,CB
2546,K. Omeruo,23,73,76,80,5.4,1628,67,76,65,56,60,70,47,212,185,81,Nigeria,CB
2547,G. Letizia,27,73,28,74,4.1,1827,92,64,82,87,65,69,69,211,173,63,Italy,LB RM
2548,G. Bettini,24,73,14,78,5,1759,77,71,71,66,71,66,75,219,171,74,Argentina,RB
2549,J. Vossen,28,73,28,73,4.6,1915,61,63,73,73,73,75,66,110,180,73,Belgium,ST
2550,J. Mojica,24,73,12,76,5.6,1981,91,75,76,63,75,69,76,204,185,73,Colombia,LM LWB LB
2551,M. Pasqual,35,73,3,73,0.98,1972,68,66,73,72,75,76,85,213,178,71,Italy,LB LM
2552,Brenito Duarte,33,73,36,73,1.8,1782,71,71,73,62,71,76,53,215,185,80,Brazil,CB
2553,Carlos Ponck,22,73,11,78,5.1,1720,65,80,52,55,61,65,44,217,183,84,Cape Verde,CB CDM
2554,O. Ustari,30,73,18,73,2.9,1272,56,38,60,64,29,51,15,37,184,82,Argentina,GK
2555,P. Kasami,25,73,22,75,5.4,1918,62,75,55,53,75,62,66,178,188,70,Switzerland,CM RM CDM
2556,M. Zaldivia,26,73,8,75,4.5,1721,60,70,47,54,60,75,64,223,181,79,Argentina,CB
2557,M. Miazga,21,73,67,80,5.4,1522,67,74,53,42,63,69,25,218,191,84,United States,CB
2558,P. Gerkens,22,73,22,78,6.2,1912,52,58,71,72,73,73,71,187,179,66,Belgium,CAM CM CF RM
2559,L. Refaelov,31,73,27,73,3.9,1771,66,38,75,73,77,76,71,67,175,70,Israel,RW CAM
2560,S. Rybalka,27,73,16,74,4.2,1884,58,68,58,72,72,52,62,204,176,70,Ukraine,CDM
2561,S. Sam,29,73,22,73,4.4,1878,77,71,79,78,75,68,71,87,174,71,Germany,RM CAM RW LM
2562,A. Di Gaudio,27,73,7,73,4.7,1693,93,38,91,93,74,74,71,69,169,63,Italy,LM LW
2563,A. Johansson,35,73,5,73,1.1,1784,33,85,55,57,67,77,36,213,184,72,Sweden,CB
2564,N. Acevedo,28,73,20,73,3.6,1879,69,72,66,64,71,74,49,214,179,77,Argentina,CDM CM
2565,D. Bessa,24,73,25,77,5.6,1876,76,45,83,83,77,72,69,129,178,75,Italy,CM
2566,C. Carbonero,26,73,3,73,4.7,1855,72,53,75,79,79,71,69,91,179,73,Colombia,CM RW
2567,Naranjo,22,73,18,79,6.2,1753,79,39,77,59,75,71,67,59,182,73,Spain,ST LM
2568,J. Lucero,25,73,25,75,5.6,1748,84,59,84,70,71,72,58,61,179,72,Argentina,ST
2569,V. Karavaev,22,73,11,80,5.3,1934,75,69,68,68,71,73,76,210,175,65,Russia,RB
2570,K. Nakamura,36,73,8,73,1.5,2018,51,65,72,75,75,78,76,180,175,66,Japan,CAM CM CDM
2571,M. Lehmann,34,73,33,73,1.4,1938,44,76,65,68,70,70,65,212,179,75,Germany,CDM
2572,L. Kon,28,73,12,73,3.6,1624,53,75,51,48,62,64,60,211,189,90,Ivory Coast,CB
2573,A. Ouz,24,73,16,77,4.8,1995,79,61,76,77,75,67,72,212,176,83,Turkey,RB RWB
2574,M. Vejinovi,27,73,18,73,4.6,1972,42,53,69,63,73,74,81,173,186,76,Netherlands,CM CDM
2575,M. Al Sahlawi,30,73,44,73,4.3,1759,74,64,70,68,66,62,58,39,180,72,Saudi Arabia,ST
2576,F. Ceccherini,25,73,13,78,5,1369,63,65,59,59,56,63,15,224,187,75,Italy,CB
2577,M. Russ,31,73,27,73,3,1506,30,77,31,42,44,73,30,223,190,88,Germany,CB CDM
2578,Pietrson Mendes,33,73,19,73,2.7,1904,80,45,81,79,75,76,76,144,173,64,Brazil,CAM ST
2579,T. Matav,28,73,16,73,4.6,1701,53,56,61,53,69,77,43,95,188,81,Slovenia,ST
2580,R. Bauer,22,73,23,77,4.8,1882,69,81,66,66,72,73,67,219,183,76,Germany,LB RB CB
2581,V. Nogueira,29,73,27,73,4.3,1956,76,67,78,85,72,75,63,179,170,61,France,CM CDM
2582,O. Vlachodimos,23,73,1,78,4.3,1122,42,32,36,38,23,36,15,37,191,77,Germany,GK
2583,K. Laifis,24,73,15,78,5.1,1942,65,72,62,57,68,71,61,218,186,77,Cyprus,CB
2584,Nildo Petrolina,31,73,16,73,3.9,2008,84,65,77,73,72,73,71,170,175,63,Brazil,LW RW
2585,C. Lwe,28,73,47,73,3.5,1980,78,68,76,77,70,68,70,213,175,68,Germany,LB
2586,J. Furch,27,73,26,73,4.8,1739,55,60,57,54,70,76,51,76,187,88,Argentina,ST
2587,V. Cantillo,23,73,4,82,6.2,1722,64,70,70,65,77,65,33,201,180,70,Colombia,CDM
2588,S. Siani,30,73,16,73,4.1,2043,71,78,78,78,72,71,65,207,175,76,Cameroon,CM CDM
2589,T. Kdr,27,73,0,73,0,1733,67,73,56,63,68,64,71,218,188,79,Hungary,LB
2590,F. Tabanou,28,73,25,73,3.5,2069,78,67,75,73,72,72,77,222,178,77,France,LB LWB
2591,F. Silva,31,73,32,73,3.8,1890,47,82,63,68,72,67,61,213,178,75,Chile,CM CDM
